label	printed	title	module	declarations
thm:spanning	Theorem 1	Spanning	Multiway/Spanning.lean	Multiway.spanning, Multiway.spanning_condition_iff, Multiway.augSlope_existsUnique, Multiway.mfeSlope_exists, Multiway.mfeSlope_unique, Multiway.identified_iff_inner_pos
prop:dw	Proposition 1	Dimension-wise Mundlak equivalence	Multiway/DimensionWise.lean	Multiway.spanning_of_single, Multiway.spanning_of_pairwise, Multiway.commute_of_uniform_spanning
prop:pairwise	Proposition 2	Pairwise proportional-frequency characterization	Multiway/Pairwise.lean	Multiway.proj_mul_proj_eq_grandMeanProj_iff, Multiway.proj_mul_proj_eq_grandMeanProj_iff_of_surjective
thm:proportional	Theorem 2	Two-way characterization under proportional cell frequencies	Multiway/Proportional.lean, Multiway/ProjBridge.lean	Multiway.commute_iff_proportional, Multiway.commute_iff_proportional_of_surjective, Multiway.proportional_iff_pairCount_eq_one, Multiway.uniformlyFEEquivalent_iff_proportional
thm:jm	Theorem 3	Joint-projection equivalence, minimality and exact absorption	Multiway/JointProjection.lean	Multiway.jm_equiv, Multiway.jm_isLeast, Multiway.within_inner_dummy_eq_zero
thm:clt	Theorem 4	Asymptotic normality of the joint-projection Mundlak estimator	Multiway/CLT.lean, Multiway/CLTMartingale.lean	Multiway.CLT.clt_a, Multiway.CLT.clt_a_mfe, Multiway.CLT.clt_a_unconditional_of_design, Multiway.CLT.clt_b, Multiway.CLT.clt_b_mfe
thm:cltcluster	Theorem 5	Asymptotic normality under multiway clustering	Multiway/SteinCluster.lean, Multiway/ClusterJanson.lean, Multiway/ClusterJansonB.lean	Multiway.SteinCluster.cltcluster_a_oneDimension_betaJM, Multiway.SteinCluster.cltcluster_a_general_betaJM, Multiway.SteinCluster.cltcluster_b_general_betaJM, Multiway.ClusterJanson.cltcluster_a_general_betaJM_janson_printed, Multiway.ClusterJanson.cltcluster_b_general_betaJM_janson_printed
thm:pi	Theorem 6	Asymptotic normality of the diagnostic coefficient	Multiway/PiInf.lean	Multiway.PiInf.pi_clt, Multiway.PiInf.pi_clt_std, Multiway.PiInf.pi_clt_unconditional_of_design_closed
thm:vhat	Theorem 7	The heteroskedasticity-robust estimator	Multiway/Vhat.lean	Multiway.Vhat.vhat_wald, Multiway.Vhat.vhat_wald_of_nVhat
thm:unionmeat	Theorem 8	The union meat under interaction components	Multiway/UnionMeat.lean	Multiway.UnionMeat.unionmeat_a, Multiway.UnionMeat.unionmeat_b_identity, Multiway.UnionMeat.unionmeat_b_bound, Multiway.UnionMeat.unionmeat_c
thm:plugin	Theorem 9	Feasible inference by plug-in estimation of the interaction variances	Multiway/Plugin.lean	Multiway.Plugin.plugMeat_sub_target_isBigOp, Multiway.Plugin.plugMeat_sub_target_tendstoInProb_uncond, Multiway.Plugin.thetaHat_sub_isBigOp, Multiway.Plugin.plugin_wald_of_meat
thm:absorbed	Theorem 10	Clustering on absorbed dimensions	Multiway/Absorbed.lean	Multiway.Absorbed.caseOne_nVhatCGM_tendstoInProb, Multiway.Absorbed.caseTwo_nVhatCGM_tendstoInProb, Multiway.Absorbed.caseOne_nVhatCGM_tendstoInProb_uncond, Multiway.Absorbed.caseTwo_nVhatCGM_tendstoInProb_uncond
thm:rateagnostic	Theorem 11	Rate-agnostic inference under multiway clustering	Multiway/RateAgnostic.lean, Multiway/Wald.lean	Multiway.RateAgnostic.rateAgnostic_a_ae, Multiway.RateAgnostic.rateAgnostic_b_ae, Multiway.Wald.wald_of_clt_rateAgnostic
thm:piinf	Theorem 12	Feasible inference for the diagnostic coefficient	Multiway/PiInf.lean	Multiway.PiInf.piinf_a, Multiway.PiInf.piinf_wald, Multiway.PiInf.piinf_c
lem:incremental	Lemma SM.B.1	Incremental projector	Multiway/Incremental.lean	Multiway.incremental_projector, Multiway.incrementalProjector_eq_starProjection, Multiway.range_incrementalMundlak_eq, Multiway.finrank_range_incrementalMundlak, Multiway.incrementalProjector_comp_orthogonal
lem:local	Lemma SM.B.2	Global spanning implies local spanning	Multiway/Local.lean	Multiway.local_spanning, Multiway.local_spanning_of_two_dimensions
lem:entry	Lemma SM.B.3	Entries of the cross-projector product	Multiway/CrossProjector.lean	Multiway.entries_crossProjector_mul, Multiway.mulVec_proj_apply, Multiway.proj_mul_proj_summand
lem:pihat	Lemma SM.B.4	The diagnostic coefficient	Multiway/PiHat.lean, Multiway/PiHatCre.lean	Multiway.PiHat.piHat_eq, Multiway.PiHat.piHat_sub_eq, Multiway.PiHat.condExp_piHat_sub_mul, Multiway.PiHat.condExp_piHat_sub_eq_zero, Multiway.PiHatCre.condExp_piHat_sub_eq_zero_of_components
lem:fourth	Lemma SM.B.5	Fourth moments pass to the idiosyncratic component	Multiway/Moments.lean	Multiway.Moments.condExp_fourth_idiosyncratic_le, Multiway.Moments.condExp_fourth_idiosyncratic_le_const, Multiway.Moments.condExp_fourth_idiosyncratic_le_regime1, Multiway.Moments.condExp_fourth_idiosyncratic_le_const_regime1, Multiway.Moments.condExp_fourth_components_le_regime1
lem:leverageid	Lemma SM.B.6	Residual representation and exact leverage identity	Multiway/Leverage.lean, Multiway/LeverageCond.lean, Multiway/LeverageCondRegime1.lean	Multiway.residualMaker_isSelfAdjoint, Multiway.residualMaker_isIdempotentElem, Multiway.trace_residualMaker, Multiway.feResidual_eq_residualMaker_apply, Multiway.LeverageCond.condExp_feResidual_sq, Multiway.LeverageCondRegime1.condExp_feResidual_sq_regimeOne
lem:ie	Lemma SM.B.7	Inclusion--exclusion identity for the multiway meat	Multiway/InclusionExclusion.lean	Multiway.multiway_meat_inclusion_exclusion, Multiway.multiway_meat_inclusion_exclusion_entry
lem:cgm	Lemma SM.B.8	The multiway cluster-robust estimator under absorbed clustering	Multiway/Cgm.lean, Multiway/CgmLimit.lean, Multiway/Vhat.lean	Multiway.Cgm.condExp_meat_idiosyncratic, Multiway.Cgm.xiMat_opNorm_le, Multiway.CgmLimit.xi_div_card_tendsto_zero, Multiway.Vhat.cgm_meat_var_le
lem:cgmsharp	Lemma SM.B.9	The cluster-size condition under the primitive design	Multiway/PrimitiveDesign.lean	Multiway.PrimitiveDesign.cgmsharp_bddInProb, Multiway.PrimitiveDesign.cgmsharp_bddInProb_of_moments, Multiway.PrimitiveDesign.cgmsharp_tendstoInProb
lem:identE2	Lemma SM.B.10	Identification after residualization	Multiway/IdentE2.lean, Multiway/UnionMeat.lean	Multiway.IdentE2.levelOne_variances_absent, Multiway.IdentE2.residual_moment, Multiway.IdentE2.targetplug, Multiway.UnionMeat.xGram_levelOne_eq_zero
lem:sharing	Lemma SM.B.11	Structure of the sharing graph and of the score variance	Multiway/Sharing.lean	Multiway.Sharing.clusterOmega_eq_zero_of_not_linked, Multiway.Sharing.card_linkedPairs_le, Multiway.Sharing.maxDegree_le_card_mul_maxCluster, Multiway.Sharing.sharing_e, Multiway.Sharing.sharing_e_lambdaMin_of_graphSupported
lem:restricted	Lemma SM.B.12	Restricted standardization	Multiway/Restricted.lean	Multiway.posDef_restricted, Multiway.transpose_mul_mul_restrictedStd, Multiway.sq_l2_opNorm_restrictedStd_le
lem:infeasiblemeat	Lemma SM.B.13	The infeasible union meat	Multiway/RateAgnostic.lean	Multiway.RateAgnostic.infeasibleMeat_tendstoInProb_nodiv, Multiway.RateAgnostic.infeasibleMeat_tendstoInProb_of_regime3_nodiv, Multiway.RateAgnostic.perturb_tendstoInProb_of_moments
lem:sqrt	Lemma SM.B.14	Matrix square roots	Multiway/Sqrt.lean	Multiway.frobNorm_sqrt_sub_one_le, Multiway.frobSq_sqrt_sub_one_le
lem:parallel	Lemma SM.C.1	Parallel images	Multiway/Parallel.lean	Multiway.parallel_images, Multiway.exists_smul_eq_of_forall_mem_span_singleton, Multiway.eq_smul_id_of_forall_mem_span_singleton, Multiway.ker_le_ker_of_forall_mem_span
lem:martingale	Lemma SM.C.2	Martingale representation of a degenerate multilinear sum	Multiway/Martingale.lean	Multiway.DegenerateSum.martingale_representation, Multiway.DegenerateSum.multi_martingale_representation, Multiway.DegenerateSum.condExp_degenDiff_eq_zero, Multiway.DegenerateSum.degenSum_eq_sum_degenDiff
lem:concentration	Lemma SM.C.3	Concentration of the conditional variance	Multiway/Concentration.lean	Multiway.concentration_clause_a, Multiway.concentration_clause_b, Multiway.concentration_clause_b_general, Multiway.concentration_clause_b_general_closed, Multiway.concentration_clause_b_general_closed_uniform
lem:multilinear	Lemma SM.C.4	Fourth moments of bounded multilinear forms	Multiway/Multilinear.lean	Multiway.Multilinear.integral_pow_four_multilinear_le, Multiway.Multilinear.integral_pow_four_random_le
lem:quadform	Lemma SM.C.5	Variance of a quadratic form in independent variables	Multiway/Quadform.lean, Multiway/CondIndep.lean	Multiway.Quadform.condVar_quadForm_le_of_condIndep, Multiway.Quadform.condVar_quadForm_le, Multiway.CondIndep.condExp_mul_of_condIndepFun
